field,target_p,threshold,n_returned_from_postgres,actual_selectivity_from_postgres,actual_selectivity_from_derive_thresholds
altitude_m,0.5,20.33215,933,0.5,0.5
altitude_m,0.1,11.106788636363635,187,0.10021436227224008,0.10021436227224008
altitude_m,0.01,5.7163725,19,0.010182207931404072,0.010182207931404072
altitude_m,0.001,4.0275859999999994,2,0.0010718113612004287,0.0010718113612004287
velocity_mps,0.5,0.10358375745206667,933,0.5,0.5
velocity_mps,0.1,0.3713838151926707,187,0.10021436227224008,0.10021436227224008
velocity_mps,0.01,1.680516290265916,19,0.010182207931404072,0.010182207931404072
velocity_mps,0.001,2.03796577857371,2,0.0010718113612004287,0.0010718113612004287
person_count,0.5,1.0,722,0.38692390139335475,0.38692390139335475
person_count,0.1,23.0,183,0.09807073954983923,0.09807073954983923
person_count,0.01,38.0,18,0.00964630225080386,0.00964630225080386
person_count,0.001,44.61999999999989,2,0.0010718113612004287,0.0010718113612004287
vehicle_count,0.5,120.0,924,0.49517684887459806,0.49517684887459806
vehicle_count,0.1,254.5,187,0.10021436227224008,0.10021436227224008
vehicle_count,0.01,416.3499999999999,19,0.010182207931404072,0.010182207931404072
vehicle_count,0.001,488.405,2,0.0010718113612004287,0.0010718113612004287
