block,embedding_mode,backend,backend_version,dimension,storage_type,dataset_id,corpus_size,scale_level,real_unique_segments,physical_rows,replication_factor,filter_selectivity_target,filter_selectivity_actual,strategy,pattern,returned_count,underfilled,filter_correctness,topk_agreement,ann_recall_vs_exact,quality_vs_groundtruth,p50_ms,p95_ms,p99_ms,cold_ms,ingest_s,index_build_s,vector_storage_mb,index_storage_mb,metadata_storage_mb,storage_amplification,index_params_json,settings_json,plan_used_vector_index,indexed_vectors_count,max_limit_setting,hardware_profile
C,synthetic,clickhouse,25.8,2048,Array(Float32),auair,1866,L2,1866,1866,1.0,100pct,1.0,exact,A,10,False,True,1.0,1.0,,203.797,203.797,,203.797,,,,,,,"{""dimension"":2048}","{""warmup"":0,""measured_repetitions"":1,""query_count"":1,""execution"":""smoke"",""error"":null,""notes"":[""top_k<=100, max_limit ayarı değişmedi""]}",False,,100,Windows-AMD64-docker-cpu
C,synthetic,clickhouse,25.8,2048,Array(Float32),auair,1866,L2,1866,1866,1.0,50pct,0.5,exact,A,10,False,True,1.0,1.0,,170.14,170.14,,170.14,,,,,,,"{""dimension"":2048}","{""warmup"":0,""measured_repetitions"":1,""query_count"":1,""execution"":""smoke"",""error"":null,""notes"":[""top_k<=100, max_limit ayarı değişmedi""]}",False,,100,Windows-AMD64-docker-cpu
C,synthetic,clickhouse,25.8,2048,Array(Float32),auair,1866,L2,1866,1866,1.0,10pct,0.10021436227224008,exact,A,10,False,True,1.0,1.0,,115.262,115.262,,115.262,,,,,,,"{""dimension"":2048}","{""warmup"":0,""measured_repetitions"":1,""query_count"":1,""execution"":""smoke"",""error"":null,""notes"":[""top_k<=100, max_limit ayarı değişmedi""]}",False,,100,Windows-AMD64-docker-cpu
C,synthetic,clickhouse,25.8,2048,Array(Float32),auair,1866,L2,1866,1866,1.0,1pct,0.010182207931404072,exact,A,10,False,True,1.0,1.0,,122.385,122.385,,122.385,,,,,,,"{""dimension"":2048}","{""warmup"":0,""measured_repetitions"":1,""query_count"":1,""execution"":""smoke"",""error"":null,""notes"":[""top_k<=100, max_limit ayarı değişmedi""]}",False,,100,Windows-AMD64-docker-cpu
C,synthetic,clickhouse,25.8,2048,Array(Float32),auair,1866,L2,1866,1866,1.0,0.1pct,0.0010718113612004287,exact,A,2,True,True,1.0,1.0,,72.442,72.442,,72.442,,,,,,,"{""dimension"":2048}","{""warmup"":0,""measured_repetitions"":1,""query_count"":1,""execution"":""smoke"",""error"":null,""notes"":[""top_k<=100, max_limit ayarı değişmedi""]}",False,,100,Windows-AMD64-docker-cpu
C,synthetic,clickhouse,25.8,2048,Array(Float32),auair,1866,L2,1866,1866,1.0,100pct,1.0,ann,A,10,False,True,1.0,1.0,,187.788,187.788,,187.788,,,,,,,"{""dimension"":2048}","{""warmup"":0,""measured_repetitions"":1,""query_count"":1,""execution"":""smoke"",""error"":null,""notes"":[""top_k<=100, max_limit ayarı değişmedi""]}",True,,100,Windows-AMD64-docker-cpu
C,synthetic,clickhouse,25.8,2048,Array(Float32),auair,1866,L2,1866,1866,1.0,50pct,0.5,ann,A,7,True,True,0.7,0.7,,150.387,150.387,,150.387,,,,,,,"{""dimension"":2048}","{""warmup"":0,""measured_repetitions"":1,""query_count"":1,""execution"":""smoke"",""error"":null,""notes"":[""top_k<=100, max_limit ayarı değişmedi""]}",True,,100,Windows-AMD64-docker-cpu
C,synthetic,clickhouse,25.8,2048,Array(Float32),auair,1866,L2,1866,1866,1.0,10pct,0.10021436227224008,ann,A,1,True,True,0.1,0.1,,119.272,119.272,,119.272,,,,,,,"{""dimension"":2048}","{""warmup"":0,""measured_repetitions"":1,""query_count"":1,""execution"":""smoke"",""error"":null,""notes"":[""top_k<=100, max_limit ayarı değişmedi""]}",True,,100,Windows-AMD64-docker-cpu
C,synthetic,clickhouse,25.8,2048,Array(Float32),auair,1866,L2,1866,1866,1.0,1pct,0.010182207931404072,ann,A,0,True,True,0.0,0.0,,94.536,94.536,,94.536,,,,,,,"{""dimension"":2048}","{""warmup"":0,""measured_repetitions"":1,""query_count"":1,""execution"":""smoke"",""error"":null,""notes"":[""top_k<=100, max_limit ayarı değişmedi""]}",True,,100,Windows-AMD64-docker-cpu
C,synthetic,clickhouse,25.8,2048,Array(Float32),auair,1866,L2,1866,1866,1.0,0.1pct,0.0010718113612004287,ann,A,0,True,True,0.0,0.0,,72.443,72.443,,72.443,,,,,,,"{""dimension"":2048}","{""warmup"":0,""measured_repetitions"":1,""query_count"":1,""execution"":""smoke"",""error"":null,""notes"":[""top_k<=100, max_limit ayarı değişmedi""]}",True,,100,Windows-AMD64-docker-cpu
